的	1		8	24414	3.680%	24414	3.680%	410	99.76%
一	2		1	11165	1.683%	35579	5.363%	411	99.99%
是	3		9	9301	1.402%	44880	6.765%	407	99.03%
不	4		4	9190	1.385%	54070	8.150%	410	99.76%
人	5		2	7622	1.149%	61692	9.298%	400	97.32%
有	6		6	7311	1.102%	69003	10.40%	411	99.99%
在	7		6	6186	0.9324%	75189	11.33%	409	99.51%
了	8		2	5037	0.7592%	80226	12.09%	379	92.21%
我	9		7	4964	0.7482%	85190	12.84%	276	67.15%
中	10		4	4114	0.6201%	89304	13.46%	400	97.32%
大	11		3	4027	0.607%	93331	14.07%	402	97.81%
個	12		10	3833	0.5777%	97164	14.64%	397	96.59%
這	13		10	3781	0.5699%	100945	15.21%	385	93.67%
會	14		13	3750	0.5652%	104695	15.78%	395	96.11%
他	15		5	3688	0.5559%	108383	16.34%	378	91.97%
為	16		9	3642	0.5489%	112025	16.88%	402	97.81%
上	17		3	3527	0.5316%	115552	17.42%	400	97.32%
來	18		8	3516	0.5299%	119068	17.95%	394	95.86%
以	19		5	3414	0.5146%	122482	18.46%	406	98.78%
時	20		10	3254	0.4905%	125736	18.95%	395	96.11%
國	21		11	3052	0.460%	128788	19.41%	311	75.67%
可	22		5	3037	0.4577%	131825	19.87%	400	97.32%
要	23		9	2950	0.4446%	134775	20.31%	382	92.94%
出	24		5	2727	0.411%	137502	20.72%	399	97.08%
到	25		8	2704	0.4076%	140206	21.13%	377	91.73%
也	26		3	2686	0.4048%	142892	21.54%	351	85.40%
之	27		4	2654	0.400%	145546	21.94%	374	91.00%
年	28		6	2654	0.400%	148200	22.34%	380	92.46%
得	29		11	2575	0.3881%	150775	22.73%	367	89.29%
而	30		6	2514	0.3789%	153289	23.10%	397	96.59%
們	31		10	2454	0.3699%	155743	23.47%	345	83.94%
過	32		12	2421	0.3649%	158164	23.84%	383	93.19%
地	33		6	2362	0.356%	160526	24.20%	353	85.89%
說	34		14	2351	0.3544%	162877	24.55%	347	84.43%
多	35		6	2336	0.3521%	165213	24.90%	387	94.16%
對	36		14	2310	0.3482%	167523	25.25%	374	91.00%
自	37		6	2303	0.3471%	169826	25.60%	351	85.40%
和	38		8	2223	0.3351%	172049	25.93%	352	85.64%
作	39		7	2202	0.3319%	174251	26.26%	363	88.32%
生	40		5	2160	0.3256%	176411	26.59%	355	86.37%
十	41		2	2131	0.3212%	178542	26.91%	356	86.62%
下	42		3	2094	0.3156%	180636	27.23%	367	89.29%
然	43		12	2050	0.309%	182686	27.54%	370	90.02%
能	44		10	2008	0.3027%	184694	27.84%	377	91.73%
後	45		9	1989	0.2998%	186683	28.14%	376	91.48%
就	46		12	1951	0.2941%	188634	28.43%	346	84.18%
那	47		6	1939	0.2923%	190573	28.72%	266	64.72%
方	48		4	1921	0.2895%	192494	29.01%	350	85.16%
家	49		10	1918	0.2891%	194412	29.30%	342	83.21%
政	50		9	1860	0.2803%	196272	29.58%	227	55.23%
於	51		8	1841	0.2775%	198113	29.86%	383	93.19%
港	52		12	1840	0.2773%	199953	30.14%	264	64.23%
著	53		12	1837	0.2769%	201790	30.41%	289	70.32%
子	54		3	1832	0.2761%	203622	30.69%	287	69.83%
都	55		9	1832	0.2761%	205454	30.97%	357	86.86%
成	56		6	1821	0.2745%	207275	31.24%	371	90.27%
事	57		8	1804	0.2719%	209079	31.51%	336	81.75%
如	58		6	1787	0.2693%	210866	31.78%	366	89.05%
但	59		7	1769	0.2666%	212635	32.05%	381	92.70%
去	60		5	1742	0.2626%	214377	32.31%	327	79.56%
心	61		4	1732	0.2611%	216109	32.57%	327	79.56%
好	62		6	1731	0.2609%	217840	32.83%	326	79.32%
民	63		5	1663	0.2507%	219503	33.08%	253	61.56%
行	64		6	1627	0.2452%	221130	33.33%	342	83.21%
用	65		5	1562	0.2354%	222692	33.57%	339	82.48%
天	66		4	1555	0.2344%	224247	33.80%	296	72.02%
本	67		5	1528	0.2303%	225775	34.03%	340	82.73%
經	68		13	1519	0.229%	227294	34.26%	351	85.40%
所	69		8	1511	0.2277%	228805	34.49%	366	89.05%
無	70		12	1501	0.2262%	230306	34.71%	338	82.24%
學	71		16	1500	0.2261%	231806	34.94%	270	65.69%
分	72		4	1489	0.2244%	233295	35.16%	359	87.35%
外	73		5	1480	0.2231%	234775	35.39%	354	86.13%
小	74		3	1478	0.2228%	236253	35.61%	307	74.70%
發	75		12	1469	0.2214%	237722	35.83%	362	88.08%
面	76		9	1450	0.2186%	239172	36.05%	350	85.16%
當	77		13	1441	0.2172%	240613	36.27%	356	86.62%
其	78		8	1438	0.2167%	242051	36.48%	365	88.81%
意	79		13	1437	0.2166%	243488	36.70%	331	80.54%
只	80		5	1434	0.2161%	244922	36.92%	353	85.89%
日	81		4	1423	0.2145%	246345	37.13%	335	81.51%
情	82		11	1417	0.2136%	247762	37.34%	312	75.91%
前	83		9	1404	0.2116%	249166	37.56%	356	86.62%
麼	84		14	1404	0.2116%	250570	37.77%	260	63.26%
沒	85		7	1400	0.211%	251970	37.98%	305	74.21%
現	86		11	1390	0.2095%	253360	38.19%	361	87.83%
因	87		6	1379	0.2078%	254739	38.40%	360	87.59%
看	88		9	1370	0.2065%	256109	38.60%	285	69.34%
同	89		6	1353	0.2039%	257462	38.81%	359	87.35%
三	90		3	1350	0.2035%	258812	39.01%	314	76.40%
法	91		8	1347	0.203%	260159	39.21%	302	73.48%
你	92		7	1344	0.2026%	261503	39.41%	178	43.31%
主	93		5	1336	0.2014%	262839	39.62%	306	74.45%
與	94		14	1331	0.2006%	264170	39.82%	329	80.05%
工	95		3	1319	0.1988%	265489	40.02%	270	65.69%
已	96		3	1314	0.1981%	266803	40.21%	334	81.27%
開	97		12	1306	0.1968%	268109	40.41%	322	78.35%
者	98		8	1303	0.1964%	269412	40.61%	330	80.29%
及	99		4	1299	0.1958%	270711	40.80%	321	78.10%
些	100		8	1290	0.1944%	272001	41.00%	332	80.78%
最	101		12	1290	0.1944%	273291	41.19%	354	86.13%
定	102		8	1274	0.192%	274565	41.38%	335	81.51%
理	103		11	1245	0.1877%	275810	41.57%	332	80.78%
又	104		2	1229	0.1852%	277039	41.76%	311	75.67%
實	105		14	1224	0.1845%	278263	41.94%	341	82.97%
二	106		2	1218	0.1836%	279481	42.12%	309	75.18%
公	107		4	1212	0.1827%	280693	42.31%	264	64.23%
她	108		6	1208	0.1821%	281901	42.49%	156	37.96%
起	109		10	1205	0.1816%	283106	42.67%	303	73.72%
想	110		13	1203	0.1813%	284309	42.85%	273	66.42%
還	111		16	1191	0.1795%	285500	43.03%	314	76.40%
此	112		6	1171	0.1765%	286671	43.21%	345	83.94%
女	113		3	1154	0.1739%	287825	43.38%	183	44.53%
力	114		2	1148	0.173%	288973	43.56%	316	76.89%
間	115		12	1145	0.1726%	290118	43.73%	328	79.81%
道	116		12	1141	0.172%	291259	43.90%	292	71.05%
香	117		9	1136	0.1712%	292395	44.07%	242	58.88%
由	118		5	1122	0.1691%	293517	44.24%	329	80.05%
樣	119		15	1119	0.1687%	294636	44.41%	290	70.56%
問	120		11	1113	0.1678%	295749	44.58%	299	72.75%
動	121		11	1109	0.1672%	296858	44.74%	314	76.40%
種	122		14	1093	0.1647%	297951	44.91%	291	70.80%
兩	123		8	1067	0.1608%	299018	45.07%	321	78.10%
九	124		2	1061	0.1599%	300079	45.23%	239	58.15%
很	125		9	1057	0.1593%	301136	45.39%	284	69.10%
表	126		8	1053	0.1587%	302189	45.55%	291	70.80%
高	127		10	1043	0.1572%	303232	45.70%	320	77.86%
點	128		17	1042	0.1571%	304274	45.86%	292	71.05%
長	129		8	1011	0.1524%	305285	46.01%	311	75.67%
加	130		5	998	0.1504%	306283	46.16%	316	76.89%
美	131		9	998	0.1504%	307281	46.31%	232	56.45%
知	132		8	991	0.1494%	308272	46.46%	278	67.64%
從	133		11	988	0.1489%	309260	46.61%	317	77.13%
應	134		17	965	0.1454%	310225	46.76%	311	75.67%
新	135		13	960	0.1447%	311185	46.90%	290	70.56%
性	136		8	959	0.1445%	312144	47.05%	268	65.21%
便	137		9	952	0.1435%	313096	47.19%	281	68.37%
或	138		8	951	0.1433%	314047	47.33%	294	71.53%
明	139		8	941	0.1418%	314988	47.48%	306	74.45%
